drug_a,drug_b,cell_line,drug_a_molecular_weight,drug_b_molecular_weight,drug_a_logp,drug_b_logp,dose_a_um,dose_b_um,cell_line_growth_rate,synergy_score
DrugA,DrugD,MCF7,350,510,1.2,3.0,3.7652,1.2362,0.64,8.226
DrugC,DrugE,PC3,280,390,0.8,1.7,2.2814,0.0242,0.73,0.742
DrugB,DrugC,PC3,420,280,2.1,0.8,0.8543,2.9396,0.73,5.798
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.0155,3.0401,0.91,9.69
DrugA,DrugD,MCF7,350,510,1.2,3.0,8.1676,4.7793,0.64,11.012
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.0135,0.029,0.64,12.102
DrugD,DrugE,PC3,510,390,3.0,1.7,0.0949,0.1292,0.73,7.466
DrugA,DrugD,A549,350,510,1.2,3.0,0.2674,0.0479,0.82,12.502
DrugC,DrugD,PC3,280,510,0.8,3.0,1.2612,0.0865,0.73,7.204
DrugB,DrugE,MCF7,420,390,2.1,1.7,0.0733,1.1155,0.64,10.971
DrugA,DrugD,A549,350,510,1.2,3.0,2.2949,0.9875,0.82,10.102
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.5084,0.0263,0.64,6.23
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.4963,1.9724,0.64,5.606
DrugC,DrugE,HCT116,280,390,0.8,1.7,0.0816,0.0124,0.91,4.54
DrugB,DrugD,MCF7,420,510,2.1,3.0,3.6325,0.0503,0.64,1.464
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.9677,0.4689,0.64,6.168
DrugD,DrugE,MCF7,510,390,3.0,1.7,2.7673,0.0317,0.64,1.933
DrugA,DrugE,HCT116,350,390,1.2,1.7,0.243,0.0305,0.91,5.126
DrugA,DrugD,HCT116,350,510,1.2,3.0,0.218,0.139,0.91,12.444
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.0183,0.0226,0.64,8.401
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.0627,8.0822,0.91,9.595
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.0656,0.0195,0.64,4.998
DrugA,DrugC,A549,350,280,1.2,0.8,0.0828,0.5466,0.82,3.649
DrugB,DrugE,PC3,420,390,2.1,1.7,1.4401,0.1978,0.73,11.758
DrugA,DrugC,HCT116,350,280,1.2,0.8,0.0179,0.1768,0.91,4.971
DrugA,DrugC,MCF7,350,280,1.2,0.8,0.0271,0.0204,0.64,3.25
DrugA,DrugD,PC3,350,510,1.2,3.0,0.5536,0.1098,0.73,12.118
DrugA,DrugB,PC3,350,420,1.2,2.1,0.2798,2.2295,0.73,14.664
DrugB,DrugC,MCF7,420,280,2.1,0.8,6.5085,0.519,0.64,0.325
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.3648,0.2074,0.64,5.858
DrugB,DrugE,PC3,420,390,2.1,1.7,0.0263,0.4593,0.73,8.454
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.9512,1.517,0.64,9.87
DrugA,DrugB,PC3,350,420,1.2,2.1,0.0491,0.0129,0.73,12.961
DrugB,DrugC,PC3,420,280,2.1,0.8,2.6592,0.0894,0.73,4.621
DrugB,DrugC,HCT116,420,280,2.1,0.8,0.0586,6.4288,0.91,3.659
DrugA,DrugC,MCF7,350,280,1.2,0.8,9.487,4.7319,0.64,7.044
DrugD,DrugE,PC3,510,390,3.0,1.7,0.3602,0.0887,0.73,5.922
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.0192,1.7393,0.64,2.921
DrugA,DrugE,A549,350,390,1.2,1.7,0.0233,3.1141,0.82,1.939
DrugA,DrugC,HCT116,350,280,1.2,0.8,4.2042,0.0388,0.91,1.218
DrugD,DrugE,PC3,510,390,3.0,1.7,0.3179,0.027,0.73,5.175
DrugA,DrugB,A549,350,420,1.2,2.1,1.0789,0.0232,0.82,12.252
DrugD,DrugE,HCT116,510,390,3.0,1.7,0.0397,2.5845,0.91,5.457
DrugA,DrugD,A549,350,510,1.2,3.0,0.0235,6.063,0.82,7.471
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.9741,7.3599,0.64,4.572
DrugD,DrugE,A549,510,390,3.0,1.7,0.463,0.7979,0.82,5.161
DrugA,DrugC,MCF7,350,280,1.2,0.8,7.9195,0.6139,0.64,1.779
DrugC,DrugE,MCF7,280,390,0.8,1.7,2.2609,0.0113,0.64,2.726
DrugB,DrugE,PC3,420,390,2.1,1.7,0.0499,0.3911,0.73,10.068
DrugD,DrugE,HCT116,510,390,3.0,1.7,0.1729,0.1326,0.91,9.165
DrugA,DrugD,PC3,350,510,1.2,3.0,0.23,0.0554,0.73,9.402
DrugD,DrugE,PC3,510,390,3.0,1.7,0.0207,0.0158,0.73,6.023
DrugA,DrugB,PC3,350,420,1.2,2.1,0.0853,0.027,0.73,15.377
DrugA,DrugC,MCF7,350,280,1.2,0.8,0.0289,0.0222,0.64,4.694
DrugA,DrugC,A549,350,280,1.2,0.8,0.0145,0.5935,0.82,4.475
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.3263,4.2171,0.64,3.255
DrugA,DrugC,A549,350,280,1.2,0.8,0.0513,0.056,0.82,8.464
DrugC,DrugD,A549,280,510,0.8,3.0,0.1321,0.3726,0.82,8.411
DrugA,DrugE,A549,350,390,1.2,1.7,5.9501,0.0198,0.82,2.895
DrugD,DrugE,PC3,510,390,3.0,1.7,2.5473,2.1799,0.73,6.753
DrugC,DrugD,A549,280,510,0.8,3.0,0.4057,0.3489,0.82,13.056
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.8293,0.063,0.64,7.283
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.0499,0.1266,0.64,6.207
DrugB,DrugC,MCF7,420,280,2.1,0.8,1.1409,0.0777,0.64,5.336
DrugC,DrugE,MCF7,280,390,0.8,1.7,0.0966,0.4039,0.64,6.893
DrugB,DrugD,PC3,420,510,2.1,3.0,0.3964,0.7921,0.73,5.363
DrugA,DrugD,A549,350,510,1.2,3.0,1.2145,3.8208,0.82,12.13
DrugD,DrugE,A549,510,390,3.0,1.7,1.5037,0.0179,0.82,1.053
DrugA,DrugC,PC3,350,280,1.2,0.8,2.5273,0.604,0.73,5.443
DrugD,DrugE,PC3,510,390,3.0,1.7,0.0576,0.5892,0.73,3.784
DrugC,DrugD,A549,280,510,0.8,3.0,0.4953,0.5215,0.82,7.498
DrugC,DrugE,PC3,280,390,0.8,1.7,2.4988,0.2995,0.73,1.032
DrugA,DrugE,A549,350,390,1.2,1.7,0.0225,0.0183,0.82,6.833
DrugC,DrugE,PC3,280,390,0.8,1.7,1.032,0.1002,0.73,4.294
DrugD,DrugE,MCF7,510,390,3.0,1.7,0.1238,0.0878,0.64,5.833
DrugA,DrugD,PC3,350,510,1.2,3.0,0.2059,0.1412,0.73,14.465
DrugA,DrugC,PC3,350,280,1.2,0.8,2.1923,0.2742,0.73,3.941
DrugC,DrugE,HCT116,280,390,0.8,1.7,7.1381,0.0227,0.91,5.366
DrugD,DrugE,A549,510,390,3.0,1.7,0.5818,1.1436,0.82,6.835
DrugA,DrugC,PC3,350,280,1.2,0.8,0.0769,0.2375,0.73,3.559
DrugA,DrugB,PC3,350,420,1.2,2.1,2.2074,0.0215,0.73,7.722
DrugA,DrugE,MCF7,350,390,1.2,1.7,3.2411,0.0209,0.64,1.386
DrugA,DrugC,PC3,350,280,1.2,0.8,0.0122,0.0528,0.73,4.188
DrugD,DrugE,A549,510,390,3.0,1.7,5.394,0.9307,0.82,5.335
DrugA,DrugE,A549,350,390,1.2,1.7,0.6573,2.5377,0.82,3.063
DrugB,DrugE,A549,420,390,2.1,1.7,2.5287,6.0728,0.82,13.436
DrugD,DrugE,PC3,510,390,3.0,1.7,0.0132,0.0403,0.73,7.871
DrugC,DrugD,PC3,280,510,0.8,3.0,0.0292,1.5991,0.73,5.721
DrugA,DrugB,HCT116,350,420,1.2,2.1,8.722,0.6833,0.91,14.487
DrugA,DrugD,A549,350,510,1.2,3.0,4.492,1.345,0.82,13.365
DrugA,DrugB,A549,350,420,1.2,2.1,8.7113,0.2375,0.82,13.173
DrugB,DrugD,HCT116,420,510,2.1,3.0,0.0273,6.8877,0.91,2.592
DrugB,DrugC,HCT116,420,280,2.1,0.8,0.8865,6.6341,0.91,5.897
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.2645,0.0228,0.64,3.695
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.1922,0.6807,0.64,5.423
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.045,0.582,0.64,6.181
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.2645,0.0475,0.64,9.185
DrugB,DrugC,HCT116,420,280,2.1,0.8,0.8787,0.9064,0.91,7.972
DrugA,DrugD,HCT116,350,510,1.2,3.0,0.1969,0.7552,0.91,16.199
DrugC,DrugD,HCT116,280,510,0.8,3.0,4.5626,5.7966,0.91,11.137
DrugC,DrugE,PC3,280,390,0.8,1.7,0.0878,3.252,0.73,3.831
DrugD,DrugE,A549,510,390,3.0,1.7,0.0695,0.1006,0.82,6.476
DrugB,DrugC,HCT116,420,280,2.1,0.8,0.0111,3.0305,0.91,-0.045
DrugB,DrugE,A549,420,390,2.1,1.7,0.6346,0.0229,0.82,6.568
DrugC,DrugE,PC3,280,390,0.8,1.7,2.0716,0.0857,0.73,3.901
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.8369,0.0108,0.64,9.528
DrugC,DrugD,A549,280,510,0.8,3.0,0.0315,3.2278,0.82,9.402
DrugC,DrugD,PC3,280,510,0.8,3.0,9.3533,0.0266,0.73,7.544
DrugB,DrugD,A549,420,510,2.1,3.0,1.845,0.2001,0.82,7.878
DrugA,DrugD,A549,350,510,1.2,3.0,5.2639,0.0136,0.82,5.496
DrugA,DrugB,MCF7,350,420,1.2,2.1,0.5746,0.3019,0.64,13.021
DrugB,DrugE,PC3,420,390,2.1,1.7,0.818,0.886,0.73,13.001
DrugD,DrugE,A549,510,390,3.0,1.7,0.1258,0.4155,0.82,7.216
DrugD,DrugE,MCF7,510,390,3.0,1.7,2.0225,3.5979,0.64,5.729
DrugB,DrugE,HCT116,420,390,2.1,1.7,3.5549,0.1051,0.91,9.958
DrugA,DrugB,PC3,350,420,1.2,2.1,0.7807,0.0341,0.73,13.841
DrugA,DrugB,A549,350,420,1.2,2.1,6.0587,0.2211,0.82,13.066
DrugA,DrugC,A549,350,280,1.2,0.8,0.0682,1.2856,0.82,3.914
DrugC,DrugE,HCT116,280,390,0.8,1.7,0.2707,1.9244,0.91,5.712
DrugC,DrugD,PC3,280,510,0.8,3.0,2.2183,3.9848,0.73,11.093
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.4564,0.9169,0.64,11.891
DrugA,DrugE,MCF7,350,390,1.2,1.7,1.5895,1.7781,0.64,4.827
DrugA,DrugE,A549,350,390,1.2,1.7,2.148,0.2945,0.82,5.953
DrugC,DrugD,PC3,280,510,0.8,3.0,0.1717,2.4046,0.73,10.149
DrugA,DrugC,PC3,350,280,1.2,0.8,5.9444,2.936,0.73,5.789
DrugA,DrugB,A549,350,420,1.2,2.1,0.0213,1.0615,0.82,10.129
DrugC,DrugD,PC3,280,510,0.8,3.0,1.6531,2.5271,0.73,10.524
DrugB,DrugD,HCT116,420,510,2.1,3.0,3.753,0.0103,0.91,3.19
DrugB,DrugD,A549,420,510,2.1,3.0,0.16,4.863,0.82,6.538
DrugB,DrugE,PC3,420,390,2.1,1.7,0.1107,3.6311,0.73,9.81
DrugC,DrugE,MCF7,280,390,0.8,1.7,0.0668,4.5674,0.64,0.18
DrugA,DrugC,MCF7,350,280,1.2,0.8,1.4221,2.6442,0.64,7.82
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.0257,0.5304,0.64,0.495
DrugA,DrugB,PC3,350,420,1.2,2.1,0.3096,0.0253,0.73,15.536
DrugA,DrugE,A549,350,390,1.2,1.7,0.0113,0.229,0.82,4.113
DrugB,DrugD,MCF7,420,510,2.1,3.0,7.5445,1.8026,0.64,3.963
DrugB,DrugD,PC3,420,510,2.1,3.0,0.0507,0.0946,0.73,7.191
DrugB,DrugC,HCT116,420,280,2.1,0.8,0.5919,0.9127,0.91,5.623
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.0293,4.197,0.64,2.826
DrugA,DrugC,PC3,350,280,1.2,0.8,2.2463,0.2066,0.73,4.595
DrugD,DrugE,HCT116,510,390,3.0,1.7,2.7792,5.1011,0.91,6.529
DrugA,DrugB,HCT116,350,420,1.2,2.1,0.0202,0.9094,0.91,12.166
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.0128,7.574,0.64,3.296
DrugA,DrugB,A549,350,420,1.2,2.1,0.0157,0.2319,0.82,13.02
DrugB,DrugD,A549,420,510,2.1,3.0,0.0216,0.1424,0.82,7.396
DrugD,DrugE,A549,510,390,3.0,1.7,0.0806,0.1522,0.82,7.679
DrugA,DrugE,A549,350,390,1.2,1.7,3.8752,0.0101,0.82,0.976
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.1968,2.1966,0.64,2.091
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.0534,0.2752,0.64,2.911
DrugB,DrugE,MCF7,420,390,2.1,1.7,6.1824,0.014,0.64,6.031
DrugD,DrugE,A549,510,390,3.0,1.7,0.0139,0.026,0.82,7.133
DrugA,DrugE,A549,350,390,1.2,1.7,0.0124,0.0215,0.82,2.611
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.5896,3.5343,0.91,12.943
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.0308,2.0836,0.91,9.35
DrugB,DrugE,PC3,420,390,2.1,1.7,0.2309,0.6461,0.73,15.234
DrugA,DrugB,PC3,350,420,1.2,2.1,0.0902,2.4983,0.73,12.989
DrugB,DrugE,MCF7,420,390,2.1,1.7,0.0897,0.0172,0.64,12.077
DrugB,DrugC,A549,420,280,2.1,0.8,0.0314,1.4981,0.82,5.786
DrugB,DrugD,MCF7,420,510,2.1,3.0,4.678,0.6046,0.64,4.801
DrugA,DrugD,HCT116,350,510,1.2,3.0,0.033,0.3326,0.91,9.509
DrugA,DrugB,A549,350,420,1.2,2.1,9.5335,0.5674,0.82,13.226
DrugC,DrugE,PC3,280,390,0.8,1.7,0.4061,0.7335,0.73,5.23
DrugA,DrugC,HCT116,350,280,1.2,0.8,0.0766,0.9792,0.91,1.737
DrugA,DrugE,HCT116,350,390,1.2,1.7,0.0494,4.1847,0.91,3.112
DrugC,DrugD,HCT116,280,510,0.8,3.0,0.1543,1.0786,0.91,11.672
DrugC,DrugD,PC3,280,510,0.8,3.0,8.9177,0.1811,0.73,7.471
DrugA,DrugD,PC3,350,510,1.2,3.0,0.3637,0.1674,0.73,10.954
DrugD,DrugE,MCF7,510,390,3.0,1.7,1.1162,0.0281,0.64,1.453
DrugA,DrugB,A549,350,420,1.2,2.1,3.7753,5.467,0.82,13.595
DrugB,DrugC,HCT116,420,280,2.1,0.8,4.3162,0.1371,0.91,3.897
DrugA,DrugD,HCT116,350,510,1.2,3.0,2.233,0.5126,0.91,10.5
DrugD,DrugE,PC3,510,390,3.0,1.7,2.4791,0.0199,0.73,4.76
DrugB,DrugD,A549,420,510,2.1,3.0,8.6631,0.1353,0.82,6.478
DrugD,DrugE,MCF7,510,390,3.0,1.7,0.0907,0.6702,0.64,5.9
DrugB,DrugC,HCT116,420,280,2.1,0.8,6.3995,0.2529,0.91,5.627
DrugB,DrugE,MCF7,420,390,2.1,1.7,0.0247,0.0308,0.64,13.446
DrugA,DrugB,PC3,350,420,1.2,2.1,0.0538,0.0198,0.73,14.254
DrugC,DrugE,MCF7,280,390,0.8,1.7,0.0404,0.0361,0.64,4.812
DrugA,DrugC,MCF7,350,280,1.2,0.8,0.0137,0.2783,0.64,3.751
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.0215,0.0572,0.64,10.939
DrugB,DrugD,PC3,420,510,2.1,3.0,5.069,8.9889,0.73,4.846
DrugB,DrugE,A549,420,390,2.1,1.7,0.0259,0.0819,0.82,12.253
DrugA,DrugB,PC3,350,420,1.2,2.1,0.7084,0.4237,0.73,14.151
DrugA,DrugB,A549,350,420,1.2,2.1,3.5958,0.5658,0.82,12.76
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.1639,1.9057,0.64,3.368
DrugA,DrugB,PC3,350,420,1.2,2.1,0.023,4.8794,0.73,8.641
DrugB,DrugE,PC3,420,390,2.1,1.7,0.0346,0.1741,0.73,12.88
DrugA,DrugB,HCT116,350,420,1.2,2.1,3.581,4.2046,0.91,14.526
DrugC,DrugE,A549,280,390,0.8,1.7,0.0542,0.0305,0.82,4.62
DrugA,DrugE,PC3,350,390,1.2,1.7,0.3573,0.2964,0.73,5.593
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.0248,0.0238,0.64,6.357
DrugA,DrugC,PC3,350,280,1.2,0.8,0.031,0.4605,0.73,1.66
DrugA,DrugB,A549,350,420,1.2,2.1,0.0227,5.6305,0.82,12.201
DrugD,DrugE,MCF7,510,390,3.0,1.7,0.159,0.3941,0.64,6.075
DrugD,DrugE,PC3,510,390,3.0,1.7,1.6782,0.2548,0.73,5.85
DrugD,DrugE,MCF7,510,390,3.0,1.7,0.0141,0.1065,0.64,3.878
DrugC,DrugD,PC3,280,510,0.8,3.0,2.4038,0.0432,0.73,7.236
